author,scheme,variant,features,model,n_feats,bal_acc,bal_sd,f1_macro,acc
alterman,late_terciles,fix,punctuation,dummy,10,0.333,0.0,0.168,0.336
alterman,late_terciles,fix,punctuation,logreg,10,0.43,0.078,0.422,0.431
alterman,late_terciles,fix,punctuation,svm,10,0.429,0.087,0.419,0.43
alterman,late_terciles,fix,lexical,dummy,50,0.333,0.0,0.168,0.336
alterman,late_terciles,fix,lexical,logreg,50,0.462,0.085,0.456,0.462
alterman,late_terciles,fix,lexical,svm,50,0.452,0.091,0.445,0.452
alterman,late_terciles,fix,phraseology,dummy,7,0.333,0.0,0.168,0.336
alterman,late_terciles,fix,phraseology,logreg,7,0.594,0.1,0.585,0.594
alterman,late_terciles,fix,phraseology,svm,7,0.583,0.089,0.568,0.583
alterman,late_terciles,fix,combined,dummy,67,0.333,0.0,0.168,0.336
alterman,late_terciles,fix,combined,logreg,67,0.534,0.092,0.53,0.534
alterman,late_terciles,fix,combined,svm,67,0.504,0.093,0.498,0.504
alterman,late_terciles,drop2,punctuation,dummy,10,0.333,0.0,0.168,0.336
alterman,late_terciles,drop2,punctuation,logreg,10,0.43,0.078,0.422,0.431
alterman,late_terciles,drop2,punctuation,svm,10,0.429,0.087,0.419,0.43
alterman,late_terciles,drop2,lexical,dummy,50,0.333,0.0,0.168,0.336
alterman,late_terciles,drop2,lexical,logreg,50,0.462,0.085,0.456,0.462
alterman,late_terciles,drop2,lexical,svm,50,0.452,0.091,0.445,0.452
alterman,late_terciles,drop2,phraseology,dummy,5,0.333,0.0,0.168,0.336
alterman,late_terciles,drop2,phraseology,logreg,5,0.446,0.085,0.438,0.447
alterman,late_terciles,drop2,phraseology,svm,5,0.439,0.086,0.425,0.441
alterman,late_terciles,drop2,combined,dummy,65,0.333,0.0,0.168,0.336
alterman,late_terciles,drop2,combined,logreg,65,0.499,0.086,0.495,0.499
alterman,late_terciles,drop2,combined,svm,65,0.473,0.093,0.466,0.473
alterman,split,fix,punctuation,dummy,10,0.5,0.0,0.461,0.856
alterman,split,fix,punctuation,logreg,10,0.807,0.1,0.734,0.835
alterman,split,fix,punctuation,svm,10,0.789,0.1,0.711,0.815
alterman,split,fix,lexical,dummy,50,0.5,0.0,0.461,0.856
alterman,split,fix,lexical,logreg,50,0.88,0.063,0.846,0.915
alterman,split,fix,lexical,svm,50,0.842,0.09,0.807,0.892
alterman,split,fix,phraseology,dummy,7,0.5,0.0,0.461,0.856
alterman,split,fix,phraseology,logreg,7,0.849,0.076,0.771,0.855
alterman,split,fix,phraseology,svm,7,0.848,0.077,0.77,0.854
alterman,split,fix,combined,dummy,67,0.5,0.0,0.461,0.856
alterman,split,fix,combined,logreg,67,0.89,0.063,0.881,0.94
alterman,split,fix,combined,svm,67,0.846,0.071,0.809,0.893
alterman,split,drop2,punctuation,dummy,10,0.5,0.0,0.461,0.856
alterman,split,drop2,punctuation,logreg,10,0.807,0.1,0.734,0.835
alterman,split,drop2,punctuation,svm,10,0.789,0.1,0.711,0.815
alterman,split,drop2,lexical,dummy,50,0.5,0.0,0.461,0.856
alterman,split,drop2,lexical,logreg,50,0.88,0.063,0.846,0.915
alterman,split,drop2,lexical,svm,50,0.842,0.09,0.807,0.892
alterman,split,drop2,phraseology,dummy,5,0.5,0.0,0.461,0.856
alterman,split,drop2,phraseology,logreg,5,0.842,0.073,0.756,0.843
alterman,split,drop2,phraseology,svm,5,0.839,0.078,0.754,0.841
alterman,split,drop2,combined,dummy,65,0.5,0.0,0.461,0.856
alterman,split,drop2,combined,logreg,65,0.895,0.071,0.88,0.939
alterman,split,drop2,combined,svm,65,0.857,0.071,0.818,0.897
alterman,terciles,fix,punctuation,dummy,10,0.333,0.0,0.16,0.316
alterman,terciles,fix,punctuation,logreg,10,0.439,0.075,0.429,0.439
alterman,terciles,fix,punctuation,svm,10,0.452,0.076,0.439,0.451
alterman,terciles,fix,lexical,dummy,50,0.333,0.0,0.16,0.316
alterman,terciles,fix,lexical,logreg,50,0.463,0.086,0.456,0.463
alterman,terciles,fix,lexical,svm,50,0.45,0.075,0.442,0.45
alterman,terciles,fix,phraseology,dummy,7,0.333,0.0,0.16,0.316
alterman,terciles,fix,phraseology,logreg,7,0.565,0.073,0.562,0.566
alterman,terciles,fix,phraseology,svm,7,0.562,0.061,0.558,0.563
alterman,terciles,fix,combined,dummy,67,0.333,0.0,0.16,0.316
alterman,terciles,fix,combined,logreg,67,0.567,0.074,0.56,0.568
alterman,terciles,fix,combined,svm,67,0.542,0.07,0.538,0.542
alterman,terciles,drop2,punctuation,dummy,10,0.333,0.0,0.16,0.316
alterman,terciles,drop2,punctuation,logreg,10,0.439,0.075,0.429,0.439
alterman,terciles,drop2,punctuation,svm,10,0.452,0.076,0.439,0.451
alterman,terciles,drop2,lexical,dummy,50,0.333,0.0,0.16,0.316
alterman,terciles,drop2,lexical,logreg,50,0.463,0.086,0.456,0.463
alterman,terciles,drop2,lexical,svm,50,0.45,0.075,0.442,0.45
alterman,terciles,drop2,phraseology,dummy,5,0.333,0.0,0.16,0.316
alterman,terciles,drop2,phraseology,logreg,5,0.521,0.084,0.517,0.523
alterman,terciles,drop2,phraseology,svm,5,0.517,0.078,0.511,0.519
alterman,terciles,drop2,combined,dummy,65,0.333,0.0,0.16,0.316
alterman,terciles,drop2,combined,logreg,65,0.531,0.085,0.524,0.532
alterman,terciles,drop2,combined,svm,65,0.511,0.082,0.506,0.511
alterman,year_terciles,fix,punctuation,dummy,10,0.333,0.0,0.187,0.391
alterman,year_terciles,fix,punctuation,logreg,10,0.439,0.07,0.426,0.451
alterman,year_terciles,fix,punctuation,svm,10,0.444,0.069,0.43,0.481
alterman,year_terciles,fix,lexical,dummy,50,0.333,0.0,0.187,0.391
alterman,year_terciles,fix,lexical,logreg,50,0.437,0.083,0.429,0.449
alterman,year_terciles,fix,lexical,svm,50,0.433,0.083,0.427,0.454
alterman,year_terciles,fix,phraseology,dummy,7,0.333,0.0,0.187,0.391
alterman,year_terciles,fix,phraseology,logreg,7,0.542,0.07,0.539,0.553
alterman,year_terciles,fix,phraseology,svm,7,0.559,0.07,0.556,0.581
alterman,year_terciles,fix,combined,dummy,67,0.333,0.0,0.187,0.391
alterman,year_terciles,fix,combined,logreg,67,0.554,0.08,0.547,0.567
alterman,year_terciles,fix,combined,svm,67,0.52,0.089,0.515,0.538
