author,scheme,variant,features,model,n_feats,bal_acc,bal_sd,f1_macro,acc
ahad_haam,split,fix,punctuation,dummy,10,0.5,0.0,0.411,0.698
ahad_haam,split,fix,punctuation,logreg,10,0.719,0.104,0.692,0.722
ahad_haam,split,fix,punctuation,svm,10,0.703,0.104,0.676,0.706
ahad_haam,split,fix,lexical,dummy,50,0.5,0.0,0.411,0.698
ahad_haam,split,fix,lexical,logreg,50,0.813,0.076,0.798,0.824
ahad_haam,split,fix,lexical,svm,50,0.779,0.101,0.758,0.785
ahad_haam,split,fix,phraseology,dummy,7,0.5,0.0,0.411,0.698
ahad_haam,split,fix,phraseology,logreg,7,0.678,0.1,0.647,0.676
ahad_haam,split,fix,phraseology,svm,7,0.677,0.101,0.645,0.673
ahad_haam,split,fix,combined,dummy,67,0.5,0.0,0.411,0.698
ahad_haam,split,fix,combined,logreg,67,0.795,0.088,0.789,0.821
ahad_haam,split,fix,combined,svm,67,0.776,0.099,0.761,0.791
ahad_haam,split,drop2,punctuation,dummy,10,0.5,0.0,0.411,0.698
ahad_haam,split,drop2,punctuation,logreg,10,0.719,0.104,0.692,0.722
ahad_haam,split,drop2,punctuation,svm,10,0.703,0.104,0.676,0.706
ahad_haam,split,drop2,lexical,dummy,50,0.5,0.0,0.411,0.698
ahad_haam,split,drop2,lexical,logreg,50,0.813,0.076,0.798,0.824
ahad_haam,split,drop2,lexical,svm,50,0.779,0.101,0.758,0.785
ahad_haam,split,drop2,phraseology,dummy,5,0.5,0.0,0.411,0.698
ahad_haam,split,drop2,phraseology,logreg,5,0.695,0.098,0.668,0.698
ahad_haam,split,drop2,phraseology,svm,5,0.699,0.094,0.671,0.7
ahad_haam,split,drop2,combined,dummy,65,0.5,0.0,0.411,0.698
ahad_haam,split,drop2,combined,logreg,65,0.797,0.084,0.792,0.825
ahad_haam,split,drop2,combined,svm,65,0.801,0.103,0.789,0.819
ahad_haam,terciles,fix,punctuation,dummy,10,0.333,0.0,0.159,0.313
ahad_haam,terciles,fix,punctuation,logreg,10,0.576,0.095,0.561,0.576
ahad_haam,terciles,fix,punctuation,svm,10,0.572,0.094,0.553,0.573
ahad_haam,terciles,fix,lexical,dummy,50,0.333,0.0,0.159,0.313
ahad_haam,terciles,fix,lexical,logreg,50,0.603,0.101,0.598,0.603
ahad_haam,terciles,fix,lexical,svm,50,0.567,0.101,0.558,0.566
ahad_haam,terciles,fix,phraseology,dummy,7,0.333,0.0,0.159,0.313
ahad_haam,terciles,fix,phraseology,logreg,7,0.547,0.097,0.537,0.546
ahad_haam,terciles,fix,phraseology,svm,7,0.533,0.107,0.521,0.531
ahad_haam,terciles,fix,combined,dummy,67,0.333,0.0,0.159,0.313
ahad_haam,terciles,fix,combined,logreg,67,0.648,0.094,0.646,0.648
ahad_haam,terciles,fix,combined,svm,67,0.625,0.107,0.62,0.625
ahad_haam,terciles,drop2,punctuation,dummy,10,0.333,0.0,0.159,0.313
ahad_haam,terciles,drop2,punctuation,logreg,10,0.576,0.095,0.561,0.576
ahad_haam,terciles,drop2,punctuation,svm,10,0.572,0.094,0.553,0.573
ahad_haam,terciles,drop2,lexical,dummy,50,0.333,0.0,0.159,0.313
ahad_haam,terciles,drop2,lexical,logreg,50,0.603,0.101,0.598,0.603
ahad_haam,terciles,drop2,lexical,svm,50,0.567,0.101,0.558,0.566
ahad_haam,terciles,drop2,phraseology,dummy,5,0.333,0.0,0.159,0.313
ahad_haam,terciles,drop2,phraseology,logreg,5,0.558,0.098,0.547,0.558
ahad_haam,terciles,drop2,phraseology,svm,5,0.544,0.099,0.532,0.543
ahad_haam,terciles,drop2,combined,dummy,65,0.333,0.0,0.159,0.313
ahad_haam,terciles,drop2,combined,logreg,65,0.665,0.104,0.662,0.665
ahad_haam,terciles,drop2,combined,svm,65,0.618,0.108,0.612,0.618
ahad_haam,year_terciles,fix,punctuation,dummy,10,0.333,0.0,0.185,0.385
ahad_haam,year_terciles,fix,punctuation,logreg,10,0.554,0.105,0.541,0.567
ahad_haam,year_terciles,fix,punctuation,svm,10,0.527,0.084,0.501,0.543
ahad_haam,year_terciles,fix,lexical,dummy,50,0.333,0.0,0.185,0.385
ahad_haam,year_terciles,fix,lexical,logreg,50,0.614,0.1,0.606,0.611
ahad_haam,year_terciles,fix,lexical,svm,50,0.58,0.107,0.573,0.576
ahad_haam,year_terciles,fix,phraseology,dummy,7,0.333,0.0,0.185,0.385
ahad_haam,year_terciles,fix,phraseology,logreg,7,0.575,0.113,0.567,0.58
ahad_haam,year_terciles,fix,phraseology,svm,7,0.546,0.116,0.538,0.555
ahad_haam,year_terciles,fix,combined,dummy,67,0.333,0.0,0.185,0.385
ahad_haam,year_terciles,fix,combined,logreg,67,0.65,0.086,0.645,0.648
ahad_haam,year_terciles,fix,combined,svm,67,0.589,0.093,0.584,0.588
ahad_haam,year_terciles,drop2,punctuation,dummy,10,0.333,0.0,0.185,0.385
ahad_haam,year_terciles,drop2,punctuation,logreg,10,0.554,0.105,0.541,0.567
ahad_haam,year_terciles,drop2,punctuation,svm,10,0.527,0.084,0.501,0.543
ahad_haam,year_terciles,drop2,lexical,dummy,50,0.333,0.0,0.185,0.385
